remark,"CSV-Import-Export"
remark,"Date = Mon Sep 14 10:12:56 2026"
remark,"Version = RSLogix 5000 v35.04"
remark,"Owner = KraussMaffei Group"
remark,"Company = KraussMaffei Group"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
COMMENT,,Local:4:O,"Upstacker and Downstacker door release",,"Local:4:O.DATA.6"
COMMENT,,Local:4:O,"Docking station door release",,"Local:4:O.DATA.7"
COMMENT,,Local:4:O,"Cutter solenoid #1",,"Local:4:O.DATA.8"
COMMENT,,Local:4:O,"Cutter Solenoid #2",,"Local:4:O.DATA.9"
COMMENT,,Local:4:O,"Docking Station Lock",,"Local:4:O.DATA.10"
COMMENT,,Local:4:O,"Internal Cell Lighting 1",,"Local:4:O.DATA.11"
COMMENT,,Local:4:O,"Internal Cell Lighting 2",,"Local:4:O.DATA.12"
COMMENT,,Local:4:O,"Spare",,"Local:4:O.DATA.13"
COMMENT,,Local:4:O,"Power On Turn Table Drive",,"Local:4:O.DATA.14"
COMMENT,,Local:4:O,"Main Cell Air engage",,"Local:4:O.DATA.15"
TAG,,Local:5:C,"","AB:1769_DO16:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Local:5:I,"","AB:1769_DO16:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Local:5:O,"","AB:1769_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.0"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.1"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.2"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.3"
COMMENT,,Local:5:O,"Turn Table brake release",,"Local:5:O.DATA.4"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.5"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.6"
COMMENT,,Local:5:O,"Euro map 78 door lock Acknowledge",,"Local:5:O.DATA.7"
COMMENT,,Local:5:O,"Laser Power On",,"Local:5:O.DATA.8"
COMMENT,,Local:5:O,"Docking Station Power ON",,"Local:5:O.DATA.9"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.10"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.11"
COMMENT,,Local:5:O,"Fumex Power ON",,"Local:5:O.DATA.12"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.13"
COMMENT,,Local:5:O,"Spare",,"Local:5:O.DATA.14"
COMMENT,,Local:5:O,"Docking Station Air Enable",,"Local:5:O.DATA.15"
TAG,,Local:6:C,"","AB:1769_DO16:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Local:6:I,"","AB:1769_DO16:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,Local:6:O,"","AB:1769_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
COMMENT,,Local:6:O,"Robot to IMM I/F mold Area Free",,"Local:6:O.DATA.0"
COMMENT,,Local:6:O,"Robot to IMM I/F mold Closure Enable",,"Local:6:O.DATA.1"
COMMENT,,Local:6:O,"Robot to IMM I/F Full Mold Opening Enable",,"Local:6:O.DATA.2"
COMMENT,,Local:6:O,"Robot to IMM I/F Robot Operate",,"Local:6:O.DATA.3"
COMMENT,,Local:6:O,"Robot to IMM I/F Injector Back Enable",,"Local:6:O.DATA.4"
COMMENT,,Local:6:O,"Robot to IMM I/F Injector Forward Enable",,"Local:6:O.DATA.5"
COMMENT,,Local:6:O,"Robot to IMM I/F Core Puller 1 Pos 1 Enable",,"Local:6:O.DATA.6"
